Date,Open,High,Low,Close,Adj Close,Volume
1996-10-30,37.848667,37.878437,37.52121,37.550976,9.887261,1640521
1996-10-31,37.635983,38.057022,37.635983,38.05278,10.019385,1908031
1996-11-01,38.273941,38.614124,38.082554,38.231346,10.066402,2423211
1996-11-04,38.273941,38.609882,38.273941,38.529037,10.144786,1284644
1996-11-05,38.694889,39.251991,38.507828,39.251991,10.335141,2105206
1996-11-06,39.464661,39.855923,39.33707,39.851681,10.49304,2973859
1996-11-07,39.826149,39.889942,39.141445,39.634762,10.435926,2894508
1996-11-08,39.877132,40.060036,39.783646,39.783646,10.475127,2001809
1996-11-11,39.762352,39.974949,39.741058,39.962223,10.522146,1020742
1996-11-12,39.911144,40.880802,39.779312,40.868076,10.76066,2786903
1996-11-13,40.868076,40.868076,40.868076,40.868076,10.76066,0
1996-11-14,40.868076,40.868076,40.868076,40.868076,10.76066,0
1996-11-15,41.676037,41.714291,40.995586,41.518669,10.931963,1848517
1996-11-18,41.548447,41.56974,40.953083,41.05938,10.811033,1451161
1996-11-19,41.038162,41.331612,40.974377,41.31456,10.87822,741210
1996-11-20,41.378345,41.676037,40.872318,41.016869,10.799837,1249177
1996-11-21,40.974377,41.420856,40.974377,41.169994,10.840152,1651342
1996-11-22,41.250755,41.505943,41.038162,41.420856,10.906208,1180045
1996-11-25,41.633533,42.233143,41.612244,42.207607,11.113361,1502860
1996-11-26,42.356491,42.845551,42.356491,42.420284,11.169361,1883384
1996-11-27,42.356491,42.356491,41.795143,41.93121,11.040586,1188461
1996-11-28,42.0588,42.59037,41.892956,42.462788,11.180552,974454
1996-11-29,42.526581,43.03685,42.420284,42.866768,11.286921,1199282
1996-12-02,42.739178,43.462132,42.654171,43.249538,11.387705,1104301
1996-12-03,43.844894,44.844238,43.802399,44.780453,11.790797,2090177
1996-12-04,44.397755,44.546562,43.908695,44.312675,11.667631,1395255
1996-12-05,44.270164,44.716648,43.079445,43.611015,11.482884,2248879
1996-12-06,42.547874,42.951847,41.676037,42.611588,11.21973,3265414
1996-12-09,42.951847,43.547218,42.909351,43.504707,11.454893,1419902
1996-12-10,43.717304,44.142586,43.377117,43.589714,11.477273,1175236
